text,created_at,score
Today it was my great honor to sign a new Executive Order to ensure Veterans have the resources they need as they transition back to civilian life We must ensure that our HEROES are given the care and support they so richly deserve ,2018-01-09,415.25495790864926
The single greatest Witch Hunt in American history continues There was no collusion everybody including the Dems knows there was no collusion amp yet on and on it goes Russia amp the world is laughing at the stupidity they are witnessing Republicans should finally take control,2018-01-10,473.43522460167287
Good news Toyota and Mazda announce giant new Huntsville Alabama plant which will produce over 300000 cars and SUV’s a year and employ 4000 people Companies are coming back to the US in a very big way Congratulations Alabama,2018-01-11,424.94506382081727
Never said anything derogatory about Haitians other than Haiti is obviously a very poor and troubled country Never said “take them out” Made up by Dems I have a wonderful relationship with Haitians Probably should record future meetings  unfortunately no trust,2018-01-12,417.691545805469
AMERICA FIRST,2018-01-13,34.21317828804878
I as President want people coming into our Country who are going to help us become strong and great again people coming in through a system based on MERIT No more Lotteries AMERICA FIRST,2018-01-14,349.77339322519043
Senator Dicky Durbin totally misrepresented what was said at the DACA meeting Deals can’t get made when there is no trust Durbin blew DACA and is hurting our Military,2018-01-15,348.14568583412074
We must have Security at our VERY DANGEROUS SOUTHERN BORDER and we must have a great WALL to help protect us and to help stop the massive inflow of drugs pouring into our country,2018-01-16,342.76742419459663
During the campaign I promised to MAKE AMERICA GREAT AGAIN by bringing businesses and jobs back to our country I am very proud to see companies like Chrysler moving operations from Mexico to Michigan where there are so many great American workers ,2018-01-17,399.9778323130944
ISIS is in retreat our economy is booming investments and jobs are pouring back into the country and so much more Together there is nothing we can’t overcomeeven a very biased media We ARE Making America Great Again,2018-01-18,388.40847164953936
Just signed 702 Bill to reauthorize foreign intelligence collection This is NOT the same FISA law that was so wrongly abused during the election I will always do the right thing for our country and put the safety of the American people first,2018-01-19,467.15352451415384
Beautiful weather all over our great country a perfect day for all Women to March Get out there now to celebrate the historic milestones and unprecedented economic success and wealth creation that has taken place over the last 12 months Lowest female unemployment in 18 years,2018-01-20,457.58779202206733
